Tm,W-L%,Year,Latitude,Longitude,City,States,Champion,League
BOS,0.65,1903,42.3601,-71.0589,Boston,Massachusetts,1,MLB
PIT,0.65,1903,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
NYG,0.6,1903,40.7128,-74.006,New York City,New York,0,MLB
CHC,0.586,1903,41.8781,-87.6298,Chicago,Illinois,0,MLB
CLE,0.55,1903,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHA,0.536,1903,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CIN,0.529,1903,39.1031,-84.512,Cincinnati,Ohio,0,MLB
NYY,0.514,1903,40.7128,-74.006,New York City,New York,0,MLB
BRK,0.5,1903,40.6782,-73.9442,Brooklyn,New York,0,MLB
DET,0.464,1903,42.3314,-83.0458,Detroit,Michigan,0,MLB
BAL,0.464,1903,39.2904,-76.6122,Baltimore,Maryland,0,MLB
CHW,0.429,1903,41.8781,-87.6298,Chicago,Illinois,0,MLB
BOB,0.414,1903,42.3601,-71.0589,Boston,Massachusetts,0,MLB
PHI,0.35,1903,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
WHS,0.307,1903,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
STL,0.307,1903,38.627,-90.1994,St. Louis,Missouri,0,MLB
NYG,0.688,1904,40.7128,-74.006,New York City,New York,0,MLB
BOS,0.617,1904,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CHC,0.604,1904,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYY,0.597,1904,40.7128,-74.006,New York City,New York,0,MLB
CHW,0.578,1904,41.8781,-87.6298,Chicago,Illinois,0,MLB
CIN,0.571,1904,39.1031,-84.512,Cincinnati,Ohio,0,MLB
PIT,0.565,1904,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
CLE,0.558,1904,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHA,0.526,1904,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
STL,0.487,1904,38.627,-90.1994,St. Louis,Missouri,0,MLB
BAL,0.422,1904,39.2904,-76.6122,Baltimore,Maryland,0,MLB
DET,0.403,1904,42.3314,-83.0458,Detroit,Michigan,0,MLB
BRK,0.364,1904,40.6782,-73.9442,Brooklyn,New York,0,MLB
BOB,0.357,1904,42.3601,-71.0589,Boston,Massachusetts,0,MLB
PHI,0.338,1904,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
WHS,0.247,1904,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
NYG,0.682,1905,40.7128,-74.006,New York City,New York,1,MLB
PIT,0.623,1905,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
PHA,0.597,1905,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CHC,0.597,1905,41.8781,-87.6298,Chicago,Illinois,0,MLB
CHW,0.597,1905,41.8781,-87.6298,Chicago,Illinois,0,MLB
PHI,0.539,1905,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
DET,0.513,1905,42.3314,-83.0458,Detroit,Michigan,0,MLB
CIN,0.513,1905,39.1031,-84.512,Cincinnati,Ohio,0,MLB
BOS,0.506,1905,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CLE,0.494,1905,41.4993,-81.6944,Cleveland,Ohio,0,MLB
NYY,0.461,1905,40.7128,-74.006,New York City,New York,0,MLB
WHS,0.416,1905,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
STL,0.377,1905,38.627,-90.1994,St. Louis,Missouri,0,MLB
BAL,0.351,1905,39.2904,-76.6122,Baltimore,Maryland,0,MLB
BOB,0.331,1905,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BRK,0.312,1905,40.6782,-73.9442,Brooklyn,New York,0,MLB
CHW,0.604,1906,41.8781,-87.6298,Chicago,Illinois,1,MLB
CHC,0.753,1906,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYG,0.623,1906,40.7128,-74.006,New York City,New York,0,MLB
PIT,0.604,1906,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
NYY,0.584,1906,40.7128,-74.006,New York City,New York,0,MLB
CLE,0.578,1906,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHA,0.506,1906,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BAL,0.494,1906,39.2904,-76.6122,Baltimore,Maryland,0,MLB
DET,0.461,1906,42.3314,-83.0458,Detroit,Michigan,0,MLB
PHI,0.461,1906,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BRK,0.429,1906,40.6782,-73.9442,Brooklyn,New York,0,MLB
CIN,0.416,1906,39.1031,-84.512,Cincinnati,Ohio,0,MLB
WHS,0.357,1906,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
STL,0.338,1906,38.627,-90.1994,St. Louis,Missouri,0,MLB
BOS,0.318,1906,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BOB,0.318,1906,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CHC,0.695,1907,41.8781,-87.6298,Chicago,Illinois,1,MLB
DET,0.597,1907,42.3314,-83.0458,Detroit,Michigan,0,MLB
PIT,0.591,1907,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
PHA,0.571,1907,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CHW,0.565,1907,41.8781,-87.6298,Chicago,Illinois,0,MLB
CLE,0.552,1907,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHI,0.539,1907,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
NYG,0.532,1907,40.7128,-74.006,New York City,New York,0,MLB
NYY,0.455,1907,40.7128,-74.006,New York City,New York,0,MLB
BAL,0.448,1907,39.2904,-76.6122,Baltimore,Maryland,0,MLB
CIN,0.429,1907,39.1031,-84.512,Cincinnati,Ohio,0,MLB
BRK,0.422,1907,40.6782,-73.9442,Brooklyn,New York,0,MLB
BOS,0.383,1907,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BOB,0.377,1907,42.3601,-71.0589,Boston,Massachusetts,0,MLB
STL,0.338,1907,38.627,-90.1994,St. Louis,Missouri,0,MLB
WHS,0.318,1907,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
CHC,0.643,1908,41.8781,-87.6298,Chicago,Illinois,1,MLB
PIT,0.636,1908,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
NYG,0.636,1908,40.7128,-74.006,New York City,New York,0,MLB
DET,0.584,1908,42.3314,-83.0458,Detroit,Michigan,0,MLB
CLE,0.584,1908,41.4993,-81.6944,Cleveland,Ohio,0,MLB
CHW,0.571,1908,41.8781,-87.6298,Chicago,Illinois,0,MLB
PHI,0.539,1908,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BAL,0.539,1908,39.2904,-76.6122,Baltimore,Maryland,0,MLB
BOS,0.487,1908,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CIN,0.474,1908,39.1031,-84.512,Cincinnati,Ohio,0,MLB
PHA,0.442,1908,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
WHS,0.435,1908,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
BOB,0.409,1908,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BRK,0.344,1908,40.6782,-73.9442,Brooklyn,New York,0,MLB
NYY,0.331,1908,40.7128,-74.006,New York City,New York,0,MLB
STL,0.318,1908,38.627,-90.1994,St. Louis,Missouri,0,MLB
PIT,0.719,1909,40.4406,-79.9959,Pittsburgh,Pennsylvania,1,MLB
CHC,0.68,1909,41.8781,-87.6298,Chicago,Illinois,0,MLB
DET,0.641,1909,42.3314,-83.0458,Detroit,Michigan,0,MLB
PHA,0.621,1909,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
NYG,0.601,1909,40.7128,-74.006,New York City,New York,0,MLB
BOS,0.575,1909,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CHW,0.51,1909,41.8781,-87.6298,Chicago,Illinois,0,MLB
CIN,0.503,1909,39.1031,-84.512,Cincinnati,Ohio,0,MLB
NYY,0.484,1909,40.7128,-74.006,New York City,New York,0,MLB
PHI,0.484,1909,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CLE,0.464,1909,41.4993,-81.6944,Cleveland,Ohio,0,MLB
BAL,0.399,1909,39.2904,-76.6122,Baltimore,Maryland,0,MLB
BRK,0.359,1909,40.6782,-73.9442,Brooklyn,New York,0,MLB
STL,0.353,1909,38.627,-90.1994,St. Louis,Missouri,0,MLB
BOB,0.294,1909,42.3601,-71.0589,Boston,Massachusetts,0,MLB
WHS,0.275,1909,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
PHA,0.662,1910,39.9526,-75.1652,Philadelphia,Pennsylvania,1,MLB
CHC,0.675,1910,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYG,0.591,1910,40.7128,-74.006,New York City,New York,0,MLB
NYY,0.571,1910,40.7128,-74.006,New York City,New York,0,MLB
PIT,0.558,1910,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
DET,0.558,1910,42.3314,-83.0458,Detroit,Michigan,0,MLB
BOS,0.526,1910,42.3601,-71.0589,Boston,Massachusetts,0,MLB
PHI,0.506,1910,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CIN,0.487,1910,39.1031,-84.512,Cincinnati,Ohio,0,MLB
CLE,0.461,1910,41.4993,-81.6944,Cleveland,Ohio,0,MLB
CHW,0.442,1910,41.8781,-87.6298,Chicago,Illinois,0,MLB
WHS,0.429,1910,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
BRK,0.416,1910,40.6782,-73.9442,Brooklyn,New York,0,MLB
STL,0.409,1910,38.627,-90.1994,St. Louis,Missouri,0,MLB
BOB,0.344,1910,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BAL,0.305,1910,39.2904,-76.6122,Baltimore,Maryland,0,MLB
PHA,0.656,1911,39.9526,-75.1652,Philadelphia,Pennsylvania,1,MLB
NYG,0.643,1911,40.7128,-74.006,New York City,New York,0,MLB
CHC,0.597,1911,41.8781,-87.6298,Chicago,Illinois,0,MLB
DET,0.578,1911,42.3314,-83.0458,Detroit,Michigan,0,MLB
PIT,0.552,1911,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
CLE,0.519,1911,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHI,0.513,1911,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BOS,0.506,1911,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CHW,0.5,1911,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYY,0.494,1911,40.7128,-74.006,New York City,New York,0,MLB
STL,0.487,1911,38.627,-90.1994,St. Louis,Missouri,0,MLB
CIN,0.455,1911,39.1031,-84.512,Cincinnati,Ohio,0,MLB
WHS,0.416,1911,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
BRK,0.416,1911,40.6782,-73.9442,Brooklyn,New York,0,MLB
BAL,0.292,1911,39.2904,-76.6122,Baltimore,Maryland,0,MLB
BOB,0.286,1911,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BOS,0.682,1912,42.3601,-71.0589,Boston,Massachusetts,1,MLB
NYG,0.669,1912,40.7128,-74.006,New York City,New York,0,MLB
PIT,0.604,1912,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
WHS,0.591,1912,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
CHC,0.591,1912,41.8781,-87.6298,Chicago,Illinois,0,MLB
PHA,0.584,1912,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CHW,0.506,1912,41.8781,-87.6298,Chicago,Illinois,0,MLB
CLE,0.487,1912,41.4993,-81.6944,Cleveland,Ohio,0,MLB
CIN,0.487,1912,39.1031,-84.512,Cincinnati,Ohio,0,MLB
PHI,0.474,1912,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
DET,0.448,1912,42.3314,-83.0458,Detroit,Michigan,0,MLB
STL,0.409,1912,38.627,-90.1994,St. Louis,Missouri,0,MLB
BRK,0.377,1912,40.6782,-73.9442,Brooklyn,New York,0,MLB
BAL,0.344,1912,39.2904,-76.6122,Baltimore,Maryland,0,MLB
BOB,0.338,1912,42.3601,-71.0589,Boston,Massachusetts,0,MLB
NYY,0.325,1912,40.7128,-74.006,New York City,New York,0,MLB
PHA,0.623,1913,39.9526,-75.1652,Philadelphia,Pennsylvania,1,MLB
NYG,0.656,1913,40.7128,-74.006,New York City,New York,0,MLB
WHS,0.584,1913,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
PHI,0.571,1913,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CHC,0.571,1913,41.8781,-87.6298,Chicago,Illinois,0,MLB
CLE,0.558,1913,41.4993,-81.6944,Cleveland,Ohio,0,MLB
BOS,0.513,1913,42.3601,-71.0589,Boston,Massachusetts,0,MLB
PIT,0.506,1913,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
CHW,0.506,1913,41.8781,-87.6298,Chicago,Illinois,0,MLB
BOB,0.448,1913,42.3601,-71.0589,Boston,Massachusetts,0,MLB
DET,0.429,1913,42.3314,-83.0458,Detroit,Michigan,0,MLB
BRK,0.422,1913,40.6782,-73.9442,Brooklyn,New York,0,MLB
CIN,0.416,1913,39.1031,-84.512,Cincinnati,Ohio,0,MLB
BAL,0.37,1913,39.2904,-76.6122,Baltimore,Maryland,0,MLB
NYY,0.37,1913,40.7128,-74.006,New York City,New York,0,MLB
STL,0.331,1913,38.627,-90.1994,St. Louis,Missouri,0,MLB
BOB,0.61,1914,42.3601,-71.0589,Boston,Massachusetts,1,MLB
PHA,0.643,1914,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BOS,0.591,1914,42.3601,-71.0589,Boston,Massachusetts,0,MLB
NYG,0.545,1914,40.7128,-74.006,New York City,New York,0,MLB
STL,0.526,1914,38.627,-90.1994,St. Louis,Missouri,0,MLB
WHS,0.526,1914,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
DET,0.519,1914,42.3314,-83.0458,Detroit,Michigan,0,MLB
CHC,0.506,1914,41.8781,-87.6298,Chicago,Illinois,0,MLB
BRK,0.487,1914,40.6782,-73.9442,Brooklyn,New York,0,MLB
PHI,0.481,1914,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BAL,0.461,1914,39.2904,-76.6122,Baltimore,Maryland,0,MLB
CHW,0.455,1914,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYY,0.455,1914,40.7128,-74.006,New York City,New York,0,MLB
PIT,0.448,1914,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
CIN,0.39,1914,39.1031,-84.512,Cincinnati,Ohio,0,MLB
CLE,0.331,1914,41.4993,-81.6944,Cleveland,Ohio,0,MLB
BOS,0.656,1915,42.3601,-71.0589,Boston,Massachusetts,1,MLB
DET,0.649,1915,42.3314,-83.0458,Detroit,Michigan,0,MLB
CHW,0.604,1915,41.8781,-87.6298,Chicago,Illinois,0,MLB
PHI,0.584,1915,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
WHS,0.552,1915,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
BOB,0.539,1915,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BRK,0.519,1915,40.6782,-73.9442,Brooklyn,New York,0,MLB
CHC,0.474,1915,41.8781,-87.6298,Chicago,Illinois,0,MLB
PIT,0.474,1915,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
STL,0.468,1915,38.627,-90.1994,St. Louis,Missouri,0,MLB
CIN,0.461,1915,39.1031,-84.512,Cincinnati,Ohio,0,MLB
NYG,0.448,1915,40.7128,-74.006,New York City,New York,0,MLB
NYY,0.448,1915,40.7128,-74.006,New York City,New York,0,MLB
BAL,0.409,1915,39.2904,-76.6122,Baltimore,Maryland,0,MLB
CLE,0.37,1915,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHA,0.279,1915,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BOS,0.591,1916,42.3601,-71.0589,Boston,Massachusetts,1,MLB
BRK,0.61,1916,40.6782,-73.9442,Brooklyn,New York,0,MLB
PHI,0.591,1916,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CHW,0.578,1916,41.8781,-87.6298,Chicago,Illinois,0,MLB
BOB,0.578,1916,42.3601,-71.0589,Boston,Massachusetts,0,MLB
DET,0.565,1916,42.3314,-83.0458,Detroit,Michigan,0,MLB
NYG,0.558,1916,40.7128,-74.006,New York City,New York,0,MLB
NYY,0.519,1916,40.7128,-74.006,New York City,New York,0,MLB
BAL,0.513,1916,39.2904,-76.6122,Baltimore,Maryland,0,MLB
CLE,0.5,1916,41.4993,-81.6944,Cleveland,Ohio,0,MLB
WHS,0.494,1916,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
CHC,0.435,1916,41.8781,-87.6298,Chicago,Illinois,0,MLB
PIT,0.422,1916,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
CIN,0.39,1916,39.1031,-84.512,Cincinnati,Ohio,0,MLB
STL,0.39,1916,38.627,-90.1994,St. Louis,Missouri,0,MLB
PHA,0.234,1916,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CHW,0.649,1917,41.8781,-87.6298,Chicago,Illinois,1,MLB
NYG,0.636,1917,40.7128,-74.006,New York City,New York,0,MLB
BOS,0.584,1917,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CLE,0.571,1917,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHI,0.565,1917,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
STL,0.532,1917,38.627,-90.1994,St. Louis,Missouri,0,MLB
DET,0.506,1917,42.3314,-83.0458,Detroit,Michigan,0,MLB
CIN,0.506,1917,39.1031,-84.512,Cincinnati,Ohio,0,MLB
WHS,0.481,1917,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
CHC,0.481,1917,41.8781,-87.6298,Chicago,Illinois,0,MLB
BOB,0.468,1917,42.3601,-71.0589,Boston,Massachusetts,0,MLB
NYY,0.461,1917,40.7128,-74.006,New York City,New York,0,MLB
BRK,0.455,1917,40.6782,-73.9442,Brooklyn,New York,0,MLB
BAL,0.37,1917,39.2904,-76.6122,Baltimore,Maryland,0,MLB
PHA,0.357,1917,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
PIT,0.331,1917,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
BOS,0.581,1918,42.3601,-71.0589,Boston,Massachusetts,1,MLB
CHC,0.651,1918,41.8781,-87.6298,Chicago,Illinois,0,MLB
CLE,0.566,1918,41.4993,-81.6944,Cleveland,Ohio,0,MLB
WHS,0.558,1918,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
NYG,0.55,1918,40.7128,-74.006,New York City,New York,0,MLB
CIN,0.527,1918,39.1031,-84.512,Cincinnati,Ohio,0,MLB
PIT,0.504,1918,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
NYY,0.465,1918,40.7128,-74.006,New York City,New York,0,MLB
BAL,0.45,1918,39.2904,-76.6122,Baltimore,Maryland,0,MLB
CHW,0.442,1918,41.8781,-87.6298,Chicago,Illinois,0,MLB
BRK,0.442,1918,40.6782,-73.9442,Brooklyn,New York,0,MLB
DET,0.426,1918,42.3314,-83.0458,Detroit,Michigan,0,MLB
PHI,0.426,1918,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BOB,0.411,1918,42.3601,-71.0589,Boston,Massachusetts,0,MLB
PHA,0.403,1918,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
STL,0.395,1918,38.627,-90.1994,St. Louis,Missouri,0,MLB
CIN,0.686,1919,39.1031,-84.512,Cincinnati,Ohio,1,MLB
CHW,0.629,1919,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYG,0.621,1919,40.7128,-74.006,New York City,New York,0,MLB
CLE,0.6,1919,41.4993,-81.6944,Cleveland,Ohio,0,MLB
NYY,0.571,1919,40.7128,-74.006,New York City,New York,0,MLB
DET,0.571,1919,42.3314,-83.0458,Detroit,Michigan,0,MLB
CHC,0.536,1919,41.8781,-87.6298,Chicago,Illinois,0,MLB
PIT,0.507,1919,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
BRK,0.493,1919,40.6782,-73.9442,Brooklyn,New York,0,MLB
BAL,0.479,1919,39.2904,-76.6122,Baltimore,Maryland,0,MLB
BOS,0.471,1919,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BOB,0.407,1919,42.3601,-71.0589,Boston,Massachusetts,0,MLB
WHS,0.4,1919,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
STL,0.386,1919,38.627,-90.1994,St. Louis,Missouri,0,MLB
PHI,0.336,1919,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
PHA,0.257,1919,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CLE,0.636,1920,41.4993,-81.6944,Cleveland,Ohio,1,MLB
CHW,0.623,1920,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYY,0.617,1920,40.7128,-74.006,New York City,New York,0,MLB
BRK,0.604,1920,40.6782,-73.9442,Brooklyn,New York,0,MLB
NYG,0.558,1920,40.7128,-74.006,New York City,New York,0,MLB
CIN,0.532,1920,39.1031,-84.512,Cincinnati,Ohio,0,MLB
PIT,0.513,1920,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
BAL,0.494,1920,39.2904,-76.6122,Baltimore,Maryland,0,MLB
STL,0.487,1920,38.627,-90.1994,St. Louis,Missouri,0,MLB
CHC,0.487,1920,41.8781,-87.6298,Chicago,Illinois,0,MLB
BOS,0.468,1920,42.3601,-71.0589,Boston,Massachusetts,0,MLB
WHS,0.442,1920,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
BOB,0.403,1920,42.3601,-71.0589,Boston,Massachusetts,0,MLB
PHI,0.403,1920,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
DET,0.396,1920,42.3314,-83.0458,Detroit,Michigan,0,MLB
PHA,0.312,1920,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
KCM,0.286,1920,39.0997,-94.5786,Kansas City,Kansas,0,MLB
ABC,0.286,1920,39.7684,-86.1581,Indianapolis,Indiana,0,MLB
CAG,0.279,1920,41.8781,-87.6298,Chicago,Illinois,0,MLB
DS,0.24,1920,42.3314,-83.0458,Detroit,Michigan,0,MLB
CSW,0.227,1920,39.1031,-84.512,Cincinnati,Ohio,0,MLB
SLS,0.208,1920,38.627,-90.1994,St. Louis,Missouri,0,MLB
DM,0.104,1920,39.7589,-84.1916,Dayton,Ohio,0,MLB
COG,0.032,1920,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYG,0.61,1921,40.7128,-74.006,New York City,New York,1,MLB
NYY,0.636,1921,40.7128,-74.006,New York City,New York,0,MLB
CLE,0.61,1921,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PIT,0.584,1921,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
STL,0.565,1921,38.627,-90.1994,St. Louis,Missouri,0,MLB
BAL,0.526,1921,39.2904,-76.6122,Baltimore,Maryland,0,MLB
WHS,0.519,1921,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
BOB,0.513,1921,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BRK,0.5,1921,40.6782,-73.9442,Brooklyn,New York,0,MLB
BOS,0.487,1921,42.3601,-71.0589,Boston,Massachusetts,0,MLB
DET,0.461,1921,42.3314,-83.0458,Detroit,Michigan,0,MLB
CIN,0.455,1921,39.1031,-84.512,Cincinnati,Ohio,0,MLB
CHC,0.416,1921,41.8781,-87.6298,Chicago,Illinois,0,MLB
CHW,0.403,1921,41.8781,-87.6298,Chicago,Illinois,0,MLB
KCM,0.351,1921,39.0997,-94.5786,Kansas City,Kansas,0,MLB
PHA,0.344,1921,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
PHI,0.331,1921,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CAG,0.286,1921,41.8781,-87.6298,Chicago,Illinois,0,MLB
SLS,0.279,1921,38.627,-90.1994,St. Louis,Missouri,0,MLB
ABC,0.24,1921,39.7684,-86.1581,Indianapolis,Indiana,0,MLB
COB,0.195,1921,39.9612,-82.9988,Columbus,Ohio,0,MLB
DS,0.195,1921,42.3314,-83.0458,Detroit,Michigan,0,MLB
CSW,0.188,1921,39.1031,-84.512,Cincinnati,Ohio,0,MLB
COG,0.065,1921,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYG,0.604,1922,40.7128,-74.006,New York City,New York,1,MLB
NYY,0.61,1922,40.7128,-74.006,New York City,New York,0,MLB
BAL,0.604,1922,39.2904,-76.6122,Baltimore,Maryland,0,MLB
CIN,0.558,1922,39.1031,-84.512,Cincinnati,Ohio,0,MLB
STL,0.552,1922,38.627,-90.1994,St. Louis,Missouri,0,MLB
PIT,0.552,1922,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
CHC,0.519,1922,41.8781,-87.6298,Chicago,Illinois,0,MLB
DET,0.513,1922,42.3314,-83.0458,Detroit,Michigan,0,MLB
CLE,0.506,1922,41.4993,-81.6944,Cleveland,Ohio,0,MLB
CHW,0.5,1922,41.8781,-87.6298,Chicago,Illinois,0,MLB
BRK,0.494,1922,40.6782,-73.9442,Brooklyn,New York,0,MLB
WHS,0.448,1922,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
PHA,0.422,1922,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BOS,0.396,1922,42.3601,-71.0589,Boston,Massachusetts,0,MLB
PHI,0.37,1922,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BOB,0.344,1922,42.3601,-71.0589,Boston,Massachusetts,0,MLB
ABC,0.325,1922,39.7684,-86.1581,Indianapolis,Indiana,0,MLB
KCM,0.305,1922,39.0997,-94.5786,Kansas City,Kansas,0,MLB
DS,0.273,1922,42.3314,-83.0458,Detroit,Michigan,0,MLB
CAG,0.24,1922,41.8781,-87.6298,Chicago,Illinois,0,MLB
SLS,0.169,1922,38.627,-90.1994,St. Louis,Missouri,0,MLB
CSW,0.117,1922,39.1031,-84.512,Cincinnati,Ohio,0,MLB
CTS,0.097,1922,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PK,0.091,1922,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
NYY,0.636,1923,40.7128,-74.006,New York City,New York,1,MLB
NYG,0.617,1923,40.7128,-74.006,New York City,New York,0,MLB
CIN,0.591,1923,39.1031,-84.512,Cincinnati,Ohio,0,MLB
PIT,0.565,1923,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
DET,0.539,1923,42.3314,-83.0458,Detroit,Michigan,0,MLB
CHC,0.539,1923,41.8781,-87.6298,Chicago,Illinois,0,MLB
CLE,0.532,1923,41.4993,-81.6944,Cleveland,Ohio,0,MLB
STL,0.513,1923,38.627,-90.1994,St. Louis,Missouri,0,MLB
BRK,0.494,1923,40.6782,-73.9442,Brooklyn,New York,0,MLB
WHS,0.487,1923,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
BAL,0.481,1923,39.2904,-76.6122,Baltimore,Maryland,0,MLB
PHA,0.448,1923,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CHW,0.448,1923,41.8781,-87.6298,Chicago,Illinois,0,MLB
BOS,0.396,1923,42.3601,-71.0589,Boston,Massachusetts,0,MLB
